"datetime","tempUp","tempLw","dwnRad","upwRad","humidity","soilHeatFlux","pressure","precipRate","waterET"
2014-11-19 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:01:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:02:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:03:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:07:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:08:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:09:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:10:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:13:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:14:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:16:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:17:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:19:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:20:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:21:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:22:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:23:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:25:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:26:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:27:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:28:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:29:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:31:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:32:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:33:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:34:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:35:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:37:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:38:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:39:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:40:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:41:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:42:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:43:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:44:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:46:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:47:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:48:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:49:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:50:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:51:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:52:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:53:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:54:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:55:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:56:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:57:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19 00:58:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
